epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,466.498,1.97998,3.47857,1.9099,1.51372,0,0.32861,0.24886,0.23343,0.095,0.01349,0.22543,0.0088,0.00204,2.3017,3.75318,2.23169,1.62636,0,0.000551997,0.000551997,0.000551997
29,483.011,1.94955,3.58701,1.9517,1.57032,0,0.32861,0.24886,0.23343,0.095,0.01349,0.22543,0.0088,0.00204,2.3017,3.75318,2.23169,1.62636,0,0.000547616,0.000547616,0.000547616
30,499.517,1.8683,3.43468,1.88682,1.52362,0,0.30254,0.28793,0.21289,0.09533,0.00893,0.03064,0.0097,0.0022,2.31733,3.69737,2.32791,1.64142,0,0.000541537,0.000541537,0.000541537
31,515.984,1.91306,3.37536,1.90609,1.48129,0,0.41294,0.2356,0.21735,0.09022,0.00822,0.03064,0.00921,0.00231,2.3777,3.67331,2.37921,1.59344,0,0.00053376,0.00053376,0.00053376
32,532.482,1.92285,3.53752,1.93303,1.46253,0,0.46259,0.26578,0.25066,0.10305,0.00831,0.03064,0.00895,0.0019,2.37726,3.56441,2.37027,1.5132,0,0.000524286,0.000524286,0.000524286
33,548.893,1.91998,3.49698,1.92257,1.48347,0,0.46259,0.26578,0.25066,0.10305,0.00831,0.03064,0.00895,0.0019,2.37726,3.56441,2.37027,1.5132,0,0.000513114,0.000513114,0.000513114
34,565.343,1.87541,3.48934,1.92397,1.47682,0,0.42232,0.28439,0.34022,0.12179,0.02951,0.11823,0.01593,0.00371,2.44596,3.47883,2.26854,1.40005,0,0.000495291,0.000495291,0.000495291
35,581.857,1.97933,3.57979,1.90984,1.4848,0,0.48452,0.38777,0.3925,0.13207,0.60988,0.08211,0.07996,0.01584,2.56719,3.42936,2.15154,1.32233,0,0.000466997,0.000466997,0.000466997
36,598.551,1.9662,3.56343,1.93558,1.45549,0,0.44599,0.37448,0.35269,0.13322,0.3062,0.09965,0.09397,0.01752,2.57661,3.43959,2.10446,1.3022,0,0.000438703,0.000438703,0.000438703
37,615.808,1.93486,3.47643,1.9405,1.4589,0,0.44599,0.37448,0.35269,0.13322,0.3062,0.09965,0.09397,0.01752,2.57661,3.43959,2.10446,1.3022,0,0.000410409,0.000410409,0.000410409
38,632.452,1.92413,3.45176,1.87797,1.4202,0,0.44285,0.40551,0.38903,0.1508,0.22888,0.09965,0.07066,0.01293,2.50823,3.43147,2.08501,1.28224,0,0.000382115,0.000382115,0.000382115
39,648.91,1.89041,3.39228,1.88385,1.40956,0,0.40472,0.42699,0.34694,0.14155,0.09189,0.12129,0.04469,0.0091,2.52359,3.37487,2.1166,1.30166,0,0.00035382,0.00035382,0.00035382
40,665.285,1.85074,3.4418,1.8484,1.40511,0,0.36421,0.44029,0.33004,0.14098,0.10301,0.12906,0.03666,0.00821,2.51561,3.36346,2.10328,1.31431,0,0.000325526,0.000325526,0.000325526
41,681.082,2.27061,3.19362,2.38281,1.32884,0,0.36421,0.44029,0.33004,0.14098,0.10301,0.12906,0.03666,0.00821,2.51561,3.36346,2.10328,1.31431,0,0.000297232,0.000297232,0.000297232
42,696.656,2.25809,3.11581,2.30002,1.31252,0,0.38223,0.42202,0.35352,0.16404,0.07899,0.1499,0.0434,0.01058,2.45926,3.39874,2.12307,1.28506,0,0.000268938,0.000268938,0.000268938
43,712.281,2.12994,3.16075,2.27072,1.28854,0,0.35284,0.371,0.35597,0.16564,0.0699,0.14009,0.03298,0.00772,2.36126,3.45435,2.11351,1.27189,0,0.000240644,0.000240644,0.000240644
44,728.028,2.0448,3.15586,2.23725,1.30654,0,0.38942,0.3413,0.36648,0.16877,0.0699,0.13784,0.0322,0.00806,2.29894,3.48156,2.08121,1.29032,0,0.000212349,0.000212349,0.000212349
45,743.615,2.05237,3.21958,2.26948,1.30455,0,0.38942,0.3413,0.36648,0.16877,0.0699,0.13784,0.0322,0.00806,2.29894,3.48156,2.08121,1.29032,0,0.000184055,0.000184055,0.000184055
46,759.24,2.10437,3.16374,2.25576,1.31112,0,0.43211,0.38655,0.38978,0.1736,0.11299,0.1499,0.05423,0.0141,2.25325,3.47241,2.05576,1.2957,0,0.000155761,0.000155761,0.000155761
47,774.939,2.06502,3.20348,2.12978,1.2556,0,0.54588,0.37764,0.43085,0.18331,0.23458,0.13887,0.08013,0.02252,2.25558,3.46941,2.07664,1.26837,0,0.000127467,0.000127467,0.000127467
48,790.51,2.03053,3.17343,2.12906,1.23385,0,0.52702,0.36388,0.40936,0.18076,0.25353,0.13232,0.08792,0.02455,2.24481,3.46082,2.08939,1.24315,0,9.91726e-05,9.91726e-05,9.91726e-05
49,806.237,1.95874,3.05583,2.06037,1.27413,0,0.52702,0.36388,0.40936,0.18076,0.25353,0.13232,0.08792,0.02455,2.24481,3.46082,2.08939,1.24315,0,7.08784e-05,7.08784e-05,7.08784e-05
50,821.728,2.04727,3.17768,2.06594,1.22023,0,0.50983,0.35419,0.41462,0.18099,0.27252,0.12906,0.10378,0.02754,2.25185,3.45237,2.09963,1.23988,0,4.25842e-05,4.25842e-05,4.25842e-05
