epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,87.5761,2.16833,4.0338,2.1502,1.40003,0,0.02556,0.55556,0.30522,0.09921,0.00885,0.44444,0.13381,0.05725,2.31561,4.66187,3.06797,1.34654,0,0.000178293,0.000178293,0.000178293
30,90.3565,2.04825,3.81657,2.13942,1.37384,0,0.02556,0.55556,0.30522,0.09921,0.00885,0.44444,0.13381,0.05725,2.31561,4.66187,3.06797,1.34654,0,0.000176456,0.000176456,0.000176456
31,93.3072,1.90801,3.55549,2.01006,1.32323,0,0.02781,0.77778,0.25293,0.09963,0.01205,0.38889,0.10754,0.03013,2.14001,4.53617,3.07427,1.37486,0,0.000174052,0.000174052,0.000174052
32,96.2262,1.93076,3.7757,1.98554,1.27183,0,0.02781,0.77778,0.25293,0.09963,0.01205,0.38889,0.10754,0.03013,2.14001,4.53617,3.07427,1.37486,0,0.000171083,0.000171083,0.000171083
33,99.13,1.85144,3.79479,2.14557,1.33809,0,0.02686,0.77778,0.2477,0.0773,0.01773,0.55556,0.12134,0.02997,2.16575,4.5123,3.08544,1.41723,0,0.000167547,0.000167547,0.000167547
34,102.081,1.69679,3.56589,1.89118,1.30852,0,0.02686,0.77778,0.2477,0.0773,0.01773,0.55556,0.12134,0.02997,2.16575,4.5123,3.08544,1.41723,0,0.000163446,0.000163446,0.000163446
35,104.971,1.76887,3.62255,1.8922,1.31993,0,0.02656,0.77778,0.25171,0.09263,0.01416,0.61111,0.09567,0.03581,2.14311,4.40613,3.10104,1.40868,0,0.000158779,0.000158779,0.000158779
36,107.885,1.90869,3.72916,1.87898,1.31298,0,0.02656,0.77778,0.25171,0.09263,0.01416,0.61111,0.09567,0.03581,2.14311,4.40613,3.10104,1.40868,0,0.000153546,0.000153546,0.000153546
37,110.854,1.73936,3.32445,1.94143,1.28009,0,0.02506,0.72222,0.26225,0.11188,0.01312,0.61111,0.10753,0.04679,2.03614,4.25589,3.08467,1.42059,0,0.000147747,0.000147747,0.000147747
38,113.714,1.73237,3.68019,1.85554,1.24447,0,0.02506,0.72222,0.26225,0.11188,0.01312,0.61111,0.10753,0.04679,2.03614,4.25589,3.08467,1.42059,0,0.000141382,0.000141382,0.000141382
